query_index,record_id,dataset,split,query_tokens,code_tokens,query,teacher_rank,baseline_rank,kd_rank
0,soimort/you-get::src/you_get/extractors/youtube.py::YouTube.get_vid_from_url::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/youtube.py#L135-L143,codesearchnet,test,5,32,Extracts video ID from URL.,1,2,2
1,soimort/you-get::src/you_get/extractors/miomio.py::sina_xml_to_url_list::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/miomio.py#L41-L51,codesearchnet,test,8,27,"str->list
    Convert XML to URL List.
    From Biligrab.",1,1,1
2,soimort/you-get::src/you_get/extractors/fc2video.py::makeMimi::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/fc2video.py#L11-L17,codesearchnet,test,5,19,"From http://cdn37.atwikiimg.com/sitescript/pub/dksitescript/FC2.site.js
    Also com.hps.util.fc2.FC2EncrptUtil.makeMimiLocal
    L110",1,1,1
3,soimort/you-get::src/you_get/extractors/fc2video.py::fc2video_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/fc2video.py#L46-L57,codesearchnet,test,1,39,wrapper,43,28,27
4,soimort/you-get::src/you_get/extractors/dailymotion.py::dailymotion_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/dailymotion.py#L13-L35,codesearchnet,test,5,62,Downloads Dailymotion videos by URL.,1,4,3
5,soimort/you-get::src/you_get/extractors/ucas.py::dictify::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/ucas.py#L18-L29,codesearchnet,test,1,27,http://stackoverflow.com/a/30923963/2946714,699,1,1
6,soimort/you-get::src/you_get/extractors/ucas.py::ucas_download_single::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/ucas.py#L102-L117,codesearchnet,test,2,75,video page,19,43,26
7,soimort/you-get::src/you_get/extractors/ucas.py::ucas_download_playlist::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/ucas.py#L119-L127,codesearchnet,test,2,37,course page,2,59,21
8,soimort/you-get::src/you_get/extractors/sina.py::sina_download_by_vid::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/sina.py#L41-L52,codesearchnet,test,9,49,"Downloads a Sina video by its unique vid.
    http://video.sina.com.cn/",1,3,2
9,soimort/you-get::src/you_get/extractors/sina.py::sina_download_by_vkey::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/sina.py#L54-L64,codesearchnet,test,9,43,"Downloads a Sina video by its unique vkey.
    http://video.sina.com/",1,1,1
10,soimort/you-get::src/you_get/extractors/sina.py::sina_download::https://github.com/soimort/you-get/blob/b746ac01c9f39de94cac2d56f665285b0523b974/src/you_get/extractors/sina.py#L94-L121,codesearchnet,test,5,95,Downloads Sina videos by URL.,1,6,4
