query_index,record_id,dataset,split,query_tokens,code_tokens,query,teacher_rank,supervised_rank,embed_rank
0,11,mbpp,test,17,42,Write a python function to remove first and last occurrence of a given character from the string.,8,151,271
1,12,mbpp,test,18,8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,1,21,1
2,13,mbpp,test,12,14,Write a function to count the most common words in a dictionary.,1,1,1
3,14,mbpp,test,12,11,Write a python function to find the volume of a triangular prism.,6,81,45
4,15,mbpp,test,10,7,Write a function to split a string at lowercase letters.,6,29,27
5,16,mbpp,test,13,17,Write a function to find sequences of lowercase letters joined with an underscore.,1,6,40
6,17,mbpp,test,10,5,Write a function to find the perimeter of a square.,1,1,1
7,18,mbpp,test,17,73,Write a function to remove characters from the first string which are present in the second string.,13,23,456
8,19,mbpp,test,15,9,Write a function to find whether a given array of integers contains any duplicate element.,1,73,107
9,20,mbpp,test,13,46,Write a function to check if the given number is woodball or not.,1,161,358
10,21,mbpp,test,11,7,Write a function to find m number of multiples of n.,1,14,126
11,22,mbpp,test,15,22,Write a function to find the first duplicate element in a given array of integers.,1,21,141
12,23,mbpp,test,18,23,Write a python function to find the maximum sum of elements of list in a list of lists.,1,72,232
13,24,mbpp,test,13,36,Write a function to convert the given binary number to its decimal equivalent.,2,1,3
14,25,mbpp,test,15,23,Write a python function to find the product of non-repeated elements in a given array.,1,25,286
15,26,mbpp,test,14,23,Write a function to check if the given tuple list has all k elements.,2,4,140
16,27,mbpp,test,13,18,Write a python function to remove all digits from a list of strings.,1,57,51
17,28,mbpp,test,8,21,Write a python function to find binomial co-efficient.,2,70,344
18,29,mbpp,test,13,28,Write a python function to find the element occurring odd number of times.,2,24,178
19,30,mbpp,test,15,29,Write a python function to count all the substrings starting and ending with same characters.,1,54,361
20,31,mbpp,test,25,61,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,2,285,481
21,32,mbpp,test,14,45,Write a python function to find the largest prime factor of a given number.,1,219,439
22,33,mbpp,test,12,31,Write a python function to convert a decimal number to binary number.,1,15,176
23,34,mbpp,test,13,59,Write a python function to find the missing number in a sorted array.,1,185,448
24,35,mbpp,test,9,6,Write a function to find the n-th rectangular number.,23,32,45
25,36,mbpp,test,17,24,Write a python function to find the nth digit in the proper fraction of two given numbers.,1,84,172
26,37,mbpp,test,13,28,Write a function to sort a given mixed list of integers and strings.,1,19,58
27,38,mbpp,test,17,22,Write a function to find the division of first even and odd number of a given list.,2,28,159
28,39,mbpp,test,27,74,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,6,473,473
29,40,mbpp,test,18,15,Write a function to find frequency of the elements in a given list of lists using collections module.,6,382,267
30,41,mbpp,test,10,12,Write a function to filter even numbers using lambda function.,1,14,31
31,42,mbpp,test,15,12,Write a python function to find the sum of repeated elements in a given array.,1,287,63
32,43,mbpp,test,15,18,Write a function to find sequences of lowercase letters joined with an underscore using regex.,7,143,65
33,44,mbpp,test,13,18,Write a function that matches a word at the beginning of a string.,5,33,16
34,45,mbpp,test,12,36,Write a function to find the gcd of the given array elements.,1,13,235
35,46,mbpp,test,17,11,Write a python function to determine whether all the numbers are different from each other are not.,23,173,11
36,47,mbpp,test,17,41,Write a python function to find the last digit when factorial of a divides factorial of b.,1,8,53
37,48,mbpp,test,13,34,Write a python function to set all odd bits of a given number.,1,202,189
38,49,mbpp,test,15,12,Write a function to extract every first or specified element from a given two-dimensional list.,37,14,5
39,50,mbpp,test,13,20,Write a function to find the list with minimum length using lambda function.,1,5,6
40,51,mbpp,test,13,13,Write a function to print check if the triangle is equilateral or not.,1,1,12
41,52,mbpp,test,9,5,Write a function to caluclate area of a parallelogram.,1,1,1
42,53,mbpp,test,20,12,Write a python function to check whether the first and last characters of a given string are equal or not.,1,262,268
43,54,mbpp,test,12,51,Write a function to sort the given array by using counting sort.,2,19,269
44,55,mbpp,test,10,14,Write a function to find t-nth term of geometric series.,3,330,422
45,56,mbpp,test,17,35,Write a python function to check if a given number is one less than twice its reverse.,1,487,497
