local_path,hf_repo_id,dataset,teacher_model,student_model,method,seed,checkpoint_tag,selected_for_report,status,notes,publish_to_hf,hf_repo_subpath,hf_commit_message,hf_published_revision
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_strong_student_diag/20260325_204211/supervised_student,cs4248-nlp/cs4248-model-weights,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,supervised_student,42,best-val,yes,verified,suite_student_dir,yes,checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_sentence-transformers-all-minilm-l6-v2/supervised_student/seed42/best-val,Add codesearchnet supervised_student checkpoint for sentence-transformers/all-MiniLM-L6-v2 at checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_sentence-transformers-all-minilm-l6-v2/supervised_student/seed42/best-val,7c2912c7cb6403c490c2196db0d1464417d344d6
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/embed_distill,cs4248-nlp/cs4248-model-weights,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,embed_distill,42,best-val,yes,verified,suite_student_dir,yes,checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/embed_distill/seed42/best-val,Add codesearchnet embed_distill checkpoint for nreimers/BERT-Tiny_L-2_H-128_A-2 at checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/embed_distill/seed42/best-val,d23d067d0096bfda97ad9fbe05dfe3f7dbd2b1fc
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/score_distill,cs4248-nlp/cs4248-model-weights,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,score_distill,42,best-val,yes,verified,suite_student_dir,yes,checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/score_distill/seed42/best-val,Add codesearchnet score_distill checkpoint for nreimers/BERT-Tiny_L-2_H-128_A-2 at checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/score_distill/seed42/best-val,05777a60fcc283c55826357c66b0d7b96000e5ac
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/artifacts/codesearchnet_tiny_pilot/20260325_203126/supervised_student,cs4248-nlp/cs4248-model-weights,codesearchnet,sentence-transformers/all-MiniLM-L12-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,supervised_student,42,best-val,yes,verified,suite_student_dir,yes,checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/supervised_student/seed42/best-val,Add codesearchnet supervised_student checkpoint for nreimers/BERT-Tiny_L-2_H-128_A-2 at checkpoints/codesearchnet/python/teacher_sentence-transformers-all-minilm-l12-v2/student_nreimers-bert-tiny_l-2_h-128_a-2/supervised_student/seed42/best-val,b53f075c1d7d1f05079768070112adf5f0332421
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_hardneg_triplet/BAAI__bge-base-en-v1.5,,mbpp,,BAAI/bge-base-en-v1.5,final_hardneg_triplet,,BAAI__bge-base-en-v1.5,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_hardneg_triplet/intfloat__e5-base-v2,,mbpp,,intfloat/e5-base-v2,final_hardneg_triplet,,intfloat__e5-base-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_hardneg_triplet/sentence-transformers__all-MiniLM-L6-v2,,mbpp,,sentence-transformers/all-MiniLM-L6-v2,final_hardneg_triplet,,sentence-transformers__all-MiniLM-L6-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_hardneg_triplet/sentence-transformers__all-mpnet-base-v2,,mbpp,,sentence-transformers/all-mpnet-base-v2,final_hardneg_triplet,,sentence-transformers__all-mpnet-base-v2,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_hardneg_triplet/sentence-transformers__multi-qa-mpnet-base-dot-v1,,mbpp,,sentence-transformers/multi-qa-mpnet-base-dot-v1,final_hardneg_triplet,,sentence-transformers__multi-qa-mpnet-base-dot-v1,yes,verified,external_sentence_transformer_dir,no,,,
/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/experiments/kai/results/mbpp_full_matrix/checkpoints/final_standard_mnr/BAAI__bge-base-en-v1.5,,mbpp,,BAAI/bge-base-en-v1.5,final_standard_mnr,,BAAI__bge-base-en-v1.5,yes,verified,external_sentence_transformer_dir,no,,,
