source,evidence_class,status,dataset,split,teacher_model,student_model,method,training_budget,MRR,Recall@1,Recall@5,Recall@10,nDCG@10,MAP@10,artifact_location,notes
docs/EXPERIMENT_LOG.md:20260314_124824,doc-only,missing_artifact,taco,test,/Users/samuellee/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L12-v2/snapshots/936af83a2ecce5fe87a09109ff5cbcefe073173a,sentence-transformers/all-MiniLM-L6-v2,embed_distill,"epochs=1, batch-size=16, eval-batch-size=32",0.1603,0.1080,0.2010,0.2590,,,taco_smoke_runs/20260314_124824/results_summary.json; taco_smoke_runs/20260314_124824/embed_distill/metrics.json,taco_smoke_runs/
docs/EXPERIMENT_LOG.md:20260314_124824,doc-only,missing_artifact,taco,test,/Users/samuellee/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L12-v2/snapshots/936af83a2ecce5fe87a09109ff5cbcefe073173a,sentence-transformers/all-MiniLM-L6-v2,direct_small_student,"epochs=1, batch-size=16, eval-batch-size=32",0.1336,0.0930,0.1650,0.2050,,,taco_smoke_runs/20260314_124824/results_summary.json; taco_smoke_runs/20260314_124824/embed_distill/metrics.json,taco_smoke_runs/
docs/EXPERIMENT_LOG.md:20260314_124824,doc-only,missing_artifact,taco,test,/Users/samuellee/.cache/huggingface/hub/models--sentence-transformers--all-MiniLM-L12-v2/snapshots/936af83a2ecce5fe87a09109ff5cbcefe073173a,-,direct_big_teacher,"epochs=1, batch-size=16, eval-batch-size=32",0.1424,0.1040,0.1710,0.2090,,,taco_smoke_runs/20260314_124824/results_summary.json; taco_smoke_runs/20260314_124824/embed_distill/metrics.json,taco_smoke_runs/
docs/EXPERIMENT_LOG.md:20260314_140409,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,supervised_student,"epochs=1, batch-size=16, eval-batch-size=32, epochs=3, batch-size=32, eval-batch-size=64",0.7926,0.7020,0.9000,0.9400,,,fair_compare_mbpp/20260314_140409/results_summary.json; fair_compare_mbpp/20260314_140409/supervised_student/metrics.json; fair_compare_mbpp/20260314_140409/embed_distill/metrics.json,fair_compare_mbpp/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,score_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.7257,0.6140,0.8700,0.9200,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230307,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,score_distill,"epochs=1, batch-size=16, eval-batch-size=32",0.7144,0.6140,0.8460,0.9040,,,smoke_runs/20260312_230307/results_summary.json,smoke_runs/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,score_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.2476,0.1340,0.3480,0.4800,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
teacher_trials/all_mpnet_base_v2/direct_baseline_metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/all-mpnet-base-v2,-,raw_teacher_trial,,0.8229,0.7480,0.9240,0.9640,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/teacher_trials/all_mpnet_base_v2/direct_baseline_metrics.json,all_mpnet_base_v2
teacher_trials/multi_qa_mpnet_base_dot_v1/direct_baseline_metrics.json,checkpoint-verified,verified,mbpp,test,sentence-transformers/multi-qa-mpnet-base-dot-v1,-,raw_teacher_trial,,0.7715,0.6720,0.8960,0.9400,,,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/teacher_trials/multi_qa_mpnet_base_dot_v1/direct_baseline_metrics.json,multi_qa_mpnet_base_dot_v1
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,sentence-transformers/all-MiniLM-L12-v2,raw,,0.8923,0.8351,0.9691,1.0000,0.9186,0.8923,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_202719_sentence-transformers__all-MiniLM-L12-v2,sentence-transformers__all-MiniLM-L12-v2
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,sentence-transformers/all-MiniLM-L12-v2,raw,,0.7860,0.6980,0.8920,0.9400,0.8216,0.7833,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260325_202817_sentence-transformers__all-MiniLM-L12-v2,sentence-transformers__all-MiniLM-L12-v2
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,sentence-transformers/all-MiniLM-L6-v2,raw,,0.7717,0.6820,0.8840,0.9220,0.8060,0.7682,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260324_203232_sentence-transformers__all-MiniLM-L6-v2,sentence-transformers__all-MiniLM-L6-v2
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,NeuML/bert-hash-nano-embeddings,raw,,0.4836,0.3800,0.5920,0.6840,0.5241,0.4740,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260324_211320_NeuML__bert-hash-nano-embeddings,NeuML__bert-hash-nano-embeddings
eval/runs/run_index.csv,checkpoint-verified,verified,mbpp,test,-,nreimers/BERT-Tiny_L-2_H-128_A-2,raw,,0.1001,0.0560,0.1240,0.1720,0.1063,0.0863,/Users/kaichen/Desktop/School/Y4S2/CS4248 Natural Language Processing/CODE4248/Project/CS4248_ez_A/mbpp_kd_suite/eval/runs/mbpp/test/20260324_223057_nreimers__BERT-Tiny_L-2_H-128_A-2,nreimers__BERT-Tiny_L-2_H-128_A-2
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,qed_align,"epochs=3, batch-size=16, eval-batch-size=32",0.7359,0.6260,0.8700,0.9260,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,qed_align,"epochs=1, batch-size=16, eval-batch-size=32",0.7083,0.6000,0.8480,0.9140,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
docs/EXPERIMENT_LOG.md:20260312_233935,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-mpnet-base-v2,sentence-transformers/all-MiniLM-L6-v2,qed_align,"epochs=3, batch-size=16, eval-batch-size=32",0.2513,0.1280,0.3720,0.5340,,,mpnet_teacher_compare/20260312_233935/results_summary.json; mpnet_teacher_compare/20260312_233935/config.json,mpnet_teacher_compare/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,pair_distill,"epochs=3, batch-size=16, eval-batch-size=32",0.7163,0.6000,0.8660,0.9180,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,pair_distill,"epochs=1, batch-size=16, eval-batch-size=32",0.6990,0.5820,0.8480,0.8980,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
docs/EXPERIMENT_LOG.md:20260312_230741,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,hpd,"epochs=3, batch-size=16, eval-batch-size=32",0.1924,0.0920,0.2740,0.3980,,,longer_compare/20260312_230741/results_summary.json; longer_compare/20260312_230741/config.json,longer_compare/
docs/EXPERIMENT_LOG.md:20260312_230346,doc-only,missing_artifact,mbpp,test,sentence-transformers/all-MiniLM-L12-v2,sentence-transformers/all-MiniLM-L6-v2,hpd,"epochs=1, batch-size=16, eval-batch-size=32",0.0471,0.0080,0.0640,0.1140,,,quick_compare/20260312_230346/results_summary.json; quick_compare/20260312_230346/config.json,quick_compare/
